date,state,longitude,latitude,row,col
2010-01-01,"PIETARSAARI KALLAN, FI",22.5166666,63.75,704,334
2010-01-04,"LIPERI TUISKAVANLUOTO, FI",29.6666666,62.55,837,1130
2010-01-01,"INARI SEVETTIJARVI, FI",28.85,69.5833333,55,1039
2010-01-01,"RANTASALMI RUKKASLUOTO, FI",28.5666666,62.0666666,891,1008
2010-01-01,"KUOPIO MAANINKA, FI",27.3166666,63.15,771,868
2010-01-01,"SIIKAJOKI REVONLAHTI, FI",25.0833333,64.6833333,600,620
2010-01-01,"HATTULA LEPAA AWS, FI",24.3166666,61.1166666,997,534
2010-01-01,"MUONIO LAUKUKERO, FI",24.0333333,68.0666666,223,503
2010-01-01,"TAMPERE SIILINKARI, FI",23.75,61.5166666,952,471
2010-01-01,"MUONIO SAMMALTUNTURI, FI",24.1166666,67.9666666,234,512
2010-01-01,"KANKAANPAA NIINISALO PUOLVOIM, FI",22.4666666,61.8333333,917,328
2010-01-01,"KITTILA, FI",24.84685,67.701022,264,593
2010-01-01,"RAASEPORI JUSSARO, FI",23.5833333,59.8166666,1142,453
2010-01-01,"ENONTEKIO NAKKALA, FI",23.5833333,68.6,164,453
2010-01-01,"SALLA KK MYLLYTIE, FI",28.6666666,66.8333333,361,1019
2010-01-01,"KEMI AJOS, FI",24.5166666,65.6666666,491,557
2010-01-01,"SEINAJOKI, FI",22.832328,62.692119,822,369
2010-01-01,"HELSINKI KAISANIEMI, FI",24.95,60.1833333,1101,605
2010-01-01,"TURKU, FI",22.262808,60.514142,1064,306
2010-01-01,"IVALO, FI",27.405328,68.607269,163,878
2010-01-01,"KOKKOLA TANKAR, FI",22.85,63.95,682,371
2010-01-01,"RAUMA KYLMAPIHLAJA, FI",21.3,61.15,993,199
2010-01-01,"UTSJOKI KEVO, FI",27.0,69.75,36,833
2010-01-01,"TAMPERE HARMALA, FI",23.75,61.4666666,958,471
2010-01-01,"KUOPIO RITONIEMI, FI",27.9,62.8,810,933
2010-01-01,"TURKU ARTUKAINEN, FI",22.1833333,60.45,1071,297
2010-01-01,"ROVANIEMI, FI",25.830411,66.564822,391,703
2010-01-01,"HAMEENLINNA KATINEN, FI",24.5,61.0,1010,555
2010-01-01,"MARIEHAMN, FI",19.898156,60.122203,1108,43
2010-01-01,"PARIKKALA KOITSANLAHTI, FI",29.4666666,61.45,960,1108
2010-01-01,"JAMSA HIMOS, FI",25.3333333,61.8833333,912,648
2010-01-01,"LOHJA PORLA, FI",24.05,60.25,1094,505
2010-01-01,"HELSINKI VANTAA, FI",24.963333,60.317222,1086,606
2010-01-01,"KALAJOKI ULKOKALLA, FI",23.45,64.3333333,639,438
2010-01-01,"MUSTASAARI VALASSAARET, FI",21.0666666,63.4333333,739,173
2010-01-01,"MIKKELI, FI",27.201794,61.6866,934,856
2010-01-01,"SAARISELKA KAUNISPAA, FI",27.45,68.4333333,183,883
2010-01-01,"SOTKAMO KUOLANIEMI, FI",28.3333333,64.1166666,663,982
2010-01-01,"VIITASAARI, FI",25.8666667,63.0833333,778,707
2010-01-01,"KUHMO KALLIOJOKI, FI",30.1666666,64.3,643,1186
2010-01-01,"ENONTEKIO KILPISJARVI, FI",20.7833333,69.05,114,141
2010-01-01,"JUVA PARTALA, FI",27.8833333,61.9,910,931
2010-01-01,"PORVOO EMASALO, FI",25.6333333,60.2,1099,681
2010-01-06,"VARKAUS, FI",27.868611,62.171111,880,930
2010-01-01,"YLITORNIO MELTOSJARVI, FI",24.65,66.5333333,394,572
2010-01-01,"VALTIMO KK, FI",28.8333333,63.6666666,713,1037
2010-01-01,"LAPPEENRANTA, FI",28.144397,61.044553,1005,961
2010-01-01,"INARI RAJAJOOSEPPI, FI",28.3,68.4833333,177,978
2010-01-01,"HANKO TVARMINNE, FI",23.25,59.85,1138,416
2010-01-01,"HANKO TULLINIEMI, FI",22.9166666,59.8166666,1142,379
2010-01-01,"SALO KIIKALA AIRFIELD, FI",23.65,60.4666666,1069,460
2010-01-01,"PELLO CENTRE, FI",23.9666666,66.7666666,368,495
2010-01-01,"LAHTI LAUNE, FI",25.6333333,60.9666666,1014,681
2010-01-01,"KIRKKONUMMI MAKILUOTO, FI",24.35,59.9166666,1131,538
2010-01-01,"JOMALA JOMLABY, FI",19.9833333,60.1833333,1101,52
2010-01-01,"KEMIJARVI AIRFIELD, FI",27.1666666,66.7166666,374,852
2010-01-01,"ENONTEKIO, FI",23.424322,68.362586,190,435
2010-01-01,"SUOMUSSALMI PESIO, FI",28.75,64.9333333,572,1028
2010-01-01,"KITTILA KENTTAROVA, FI",24.25,67.9833333,233,527
2010-01-01,"VIRRAT AIJANNEVA, FI",23.55,62.3333333,862,449
2010-01-01,"SAVOLINNA RUUNAVUORI, FI",28.85,61.8333333,917,1039
2010-01-01,"SAVONLINNA PUNKAHARJU, FI",29.3166666,61.8,921,1091
2010-01-01,"INARI SAARISELKA, FI",27.4166666,68.4166666,184,880
2010-01-01,"KAUHAJOKI KUJA KOKKO, FI",22.1833333,62.4166666,852,297
